hour_of_day,trips_2024,trips_2025,trip_diff,growth_pct
0,2464866,2597612,132746,5.39
1,1757429,1876338,118909,6.77
2,1286233,1364936,78703,6.12
3,1044237,1102760,58523,5.6
4,1140550,1221270,80720,7.08
5,1236829,1363191,126362,10.22
6,1847967,2006519,158552,8.58
7,2706020,2881224,175204,6.47
8,3154180,3460568,306388,9.71
9,2819722,3196535,376813,13.36
10,2549031,2937905,388874,15.26
11,2451036,2868416,417380,17.03
12,2506163,2900955,394792,15.75
13,2568445,2947396,378951,14.75
14,2718019,3190706,472687,17.39
15,2772450,3210308,437858,15.79
16,2856844,3250996,394152,13.8
17,3199123,3643896,444773,13.9
18,3408711,3775107,366396,10.75
19,3347059,3683066,336007,10.04
20,3102710,3508806,406096,13.09
21,3117532,3535331,417799,13.4
22,3235248,3546857,311609,9.63
23,3004566,3160574,156008,5.19
